state,county,cases,year,fips,prcp,avtemp,str_year,size
Alabama,Autauga County,0,2000,1001,959.2705024719238,18.10082697868347,pop2000,43872
Alabama,Baldwin County,1,2000,1003,1019.4288143869173,19.67102224543943,pop2000,141358
Alabama,Barbour County,0,2000,1005,1005.5298515768612,18.07436923419728,pop2000,29035
Alabama,Bibb County,0,2000,1007,993.697525516633,17.417446280038487,pop2000,19936
Alabama,Blount County,0,2000,1009,1178.8186126059675,16.345661366239508,pop2000,51181
Alabama,Bullock County,0,2000,1011,1068.4640751591435,17.66637658484188,pop2000,11604
Alabama,Butler County,0,2000,1013,1019.1419146993886,18.65225075431492,pop2000,21313
Alabama,Calhoun County,0,2000,1015,1004.1204863757622,16.09575405353453,pop2000,111342
Alabama,Chambers County,0,2000,1017,1042.9925873145628,16.42727481113391,pop2000,36593
Alabama,Cherokee County,0,2000,1019,1146.2874416775173,15.551998551686605,pop2000,24053
Alabama,Chilton County,0,2000,1021,1000.8149075594815,17.388358844410288,pop2000,39781
Alabama,Choctaw County,0,2000,1023,961.9136521833657,18.349176713149912,pop2000,15850
Alabama,Clarke County,0,2000,1025,932.0647051642923,18.746761007869946,pop2000,27833
Alabama,Clay County,0,2000,1027,1131.406889512804,15.985289414723715,pop2000,14264
Alabama,Cleburne County,0,2000,1029,1074.1503405624562,15.302320201745195,pop2000,14156
Alabama,Coffee County,0,2000,1031,980.4404072664222,18.95800224615603,pop2000,43540
Alabama,Colbert County,0,2000,1033,1105.7552785349417,16.21952703496912,pop2000,55024
Alabama,Conecuh County,0,2000,1035,1063.018495686849,18.698115634918214,pop2000,14040
Alabama,Coosa County,0,2000,1037,1047.7597677541335,16.9362562534421,pop2000,11843
Alabama,Covington County,0,2000,1039,1022.1224361218905,18.860618616405286,pop2000,37490
Alabama,Crenshaw County,0,2000,1041,989.5134524390811,18.464243956974574,pop2000,13696
Alabama,Cullman County,0,2000,1043,1273.9190101967201,16.181072810748677,pop2000,77580
Alabama,Dale County,0,2000,1045,962.7314304896763,18.997370883396695,pop2000,49068
Alabama,Dallas County,0,2000,1047,957.130068766276,18.331038004557293,pop2000,46181
Alabama,DeKalb County,0,2000,1049,1214.191378252222,14.67753022745115,pop2000,64638
Alabama,Elmore County,1,2000,1051,992.035749719498,17.593159513270603,pop2000,66230
Alabama,Escambia County,0,2000,1053,1090.291016862199,19.008134236206878,pop2000,38402
Alabama,Etowah County,0,2000,1055,1108.3521209716796,16.115329241752626,pop2000,103313
Alabama,Fayette County,0,2000,1057,1104.1880045572916,16.471586079067656,pop2000,18456
Alabama,Franklin County,0,2000,1059,1162.861203400985,16.294038482334305,pop2000,31208
Alabama,Geneva County,0,2000,1061,1066.613882266774,18.870906403485467,pop2000,25790
Alabama,Greene County,0,2000,1063,1036.7769478934151,17.76964283897763,pop2000,9946
Alabama,Hale County,0,2000,1065,1033.473158023232,18.08624859860069,pop2000,18288
Alabama,Henry County,0,2000,1067,940.9891446741616,18.794930853494783,pop2000,16344
Alabama,Houston County,0,2000,1069,980.0964728860295,19.459013635971967,pop2000,88919
Alabama,Jackson County,0,2000,1071,1380.2669476764959,14.865046751208421,pop2000,54029
Alabama,Jefferson County,1,2000,1073,1122.9928449799743,17.13653315773493,pop2000,662214
Alabama,Lamar County,0,2000,1075,1044.51083984375,16.719597354688144,pop2000,15905
Alabama,Lauderdale County,0,2000,1077,1106.9537253639915,15.9259389964017,pop2000,87982
Alabama,Lawrence County,0,2000,1079,1155.5346584875606,16.43308695080211,pop2000,34856
Alabama,Lee County,0,2000,1081,1039.2651103626597,17.268195173957132,pop2000,115511
Alabama,Limestone County,0,2000,1083,1182.7243367513022,15.945319451226128,pop2000,65930
Alabama,Lowndes County,0,2000,1085,967.6132988683956,18.50157403454338,pop2000,13487
Alabama,Macon County,0,2000,1087,1000.6525018865412,17.56185928258029,pop2000,24075
Alabama,Madison County,0,2000,1089,1260.0958370782632,15.685259945624697,pop2000,277868
Alabama,Marengo County,0,2000,1091,958.1432445629223,18.256963137033825,pop2000,22566
Alabama,Marion County,0,2000,1093,1129.47706155216,16.122484814886953,pop2000,31149
Alabama,Marshall County,0,2000,1095,1254.9924226459705,16.034380189996018,pop2000,82333
Alabama,Mobile County,2,2000,1097,998.3773810977027,19.517945652916318,pop2000,400061
Alabama,Monroe County,0,2000,1099,958.6220001220703,18.653620229448592,pop2000,24281
Alabama,Montgomery County,0,2000,1101,939.4126718455348,18.291718302101923,pop2000,223413
Alabama,Morgan County,0,2000,1103,1183.6457921808417,16.27785716273568,pop2000,111194
Alabama,Perry County,0,2000,1105,1002.4889215207568,17.84020294862635,pop2000,11808
Alabama,Pickens County,0,2000,1107,1071.0528214977633,17.374046048810406,pop2000,20904
Alabama,Pike County,0,2000,1109,940.9209588857798,18.38423673923199,pop2000,29734
Alabama,Randolph County,0,2000,1111,1042.1598782009548,15.674316865426523,pop2000,22414
Alabama,Russell County,0,2000,1113,975.6905510870965,17.692953172620836,pop2000,49692
Alabama,St. Clair County,0,2000,1115,1093.2401078073601,16.41994649987472,pop2000,65079
Alabama,Shelby County,0,2000,1117,1043.3147451466527,17.342265392171925,pop2000,144523
Alabama,Sumter County,0,2000,1119,1007.1817076148056,17.89505867066422,pop2000,14748
Alabama,Talladega County,0,2000,1121,1020.0385210955584,16.640763494703506,pop2000,80338
Alabama,Tallapoosa County,0,2000,1123,1093.0554413377192,16.63367909715887,pop2000,41743
Alabama,Tuscaloosa County,1,2000,1125,1102.5057385896382,17.372330715781764,pop2000,165191
Alabama,Walker County,0,2000,1127,1172.215329029521,16.58719877336846,pop2000,70680
Alabama,Washington County,0,2000,1129,1015.3703944386999,18.90885557536206,pop2000,18112
Alabama,Wilcox County,0,2000,1131,929.5458957045826,18.440559088294187,pop2000,12980
Alabama,Winston County,0,2000,1133,1209.4354184468586,16.155419280131657,pop2000,24882
Arizona,Apache County,0,2000,4001,293.590776186992,11.20327164812018,pop2000,69516
Arizona,Cochise County,0,2000,4003,482.4558539636356,16.693582889823432,pop2000,118028
Arizona,Coconino County,0,2000,4005,316.95464788481246,12.218878282623928,pop2000,116717
Arizona,Gila County,0,2000,4007,473.8491171189569,15.573115406781652,pop2000,51355
Arizona,Graham County,0,2000,4009,397.7070931813803,16.33843839024923,pop2000,33541
Arizona,Greenlee County,0,2000,4011,435.09467721754504,13.841884238104667,pop2000,8542
Arizona,La Paz County,0,2000,4012,98.81143997383415,22.39507026851457,pop2000,19643
Arizona,Maricopa County,1,2000,4013,225.52513004005178,21.842505732965293,pop2000,3097378
Arizona,Mohave County,0,2000,4015,211.19001510046593,17.456693695041945,pop2000,156194
Arizona,Navajo County,0,2000,4017,254.88512122246527,12.404083941572456,pop2000,97876
Arizona,Pima County,0,2000,4019,333.9219735935109,20.464227071501735,pop2000,848521
Arizona,Pinal County,1,2000,4021,291.4720417570534,20.9209913585497,pop2000,181283
Arizona,Santa Cruz County,0,2000,4023,606.582011132267,16.773166427399193,pop2000,38542
Arizona,Yavapai County,0,2000,4025,399.1518204360712,15.72923713355768,pop2000,168886
Arizona,Yuma County,0,2000,4027,73.28057107586547,22.861295799313464,pop2000,160675
Arkansas,Arkansas County,0,2000,5001,1037.429931222576,17.169482962725915,pop2000,20672
Arkansas,Ashley County,0,2000,5003,1336.1353447492731,17.425914084264473,pop2000,24160
Arkansas,Baxter County,0,2000,5005,995.6314645162443,14.61855084721635,pop2000,38465
Arkansas,Benton County,1,2000,5007,1133.191627564469,14.105103345421272,pop2000,154791
Arkansas,Boone County,0,2000,5009,985.4480031866776,14.357735533463327,pop2000,34051
Arkansas,Bradley County,0,2000,5011,1344.633662923177,16.982706536187067,pop2000,12603
Arkansas,Calhoun County,0,2000,5013,1329.1913113064236,16.790085474650066,pop2000,5717
Arkansas,Carroll County,0,2000,5015,1130.039046514602,14.349528267270042,pop2000,25411
Arkansas,Chicot County,0,2000,5017,1299.9046872456868,17.91904826958974,pop2000,14083
Arkansas,Clark County,0,2000,5019,1263.5822967044892,16.726019162980336,pop2000,23508
Arkansas,Clay County,0,2000,5021,1034.6533368428547,15.049322505791983,pop2000,17542
Arkansas,Cleburne County,0,2000,5023,1036.052210608194,15.480127378951671,pop2000,24113
Arkansas,Cleveland County,0,2000,5025,1249.6937730577256,16.81048526763916,pop2000,8544
Arkansas,Columbia County,0,2000,5027,1495.6388436376521,17.563398226172524,pop2000,25564
Arkansas,Conway County,0,2000,5029,1064.659997832909,15.720408278904603,pop2000,20321
Arkansas,Craighead County,0,2000,5031,1006.8941327560046,15.753054043478217,pop2000,82518
Arkansas,Crawford County,0,2000,5033,1237.2214139687894,15.421843037460789,pop2000,53376
Arkansas,Crittenden County,0,2000,5035,992.7974754872948,16.274048381381565,pop2000,50976
Arkansas,Cross County,0,2000,5037,1012.7424451251362,15.94206835502802,pop2000,19476
Arkansas,Dallas County,0,2000,5039,1262.3138029679008,16.638232272604238,pop2000,9158
Arkansas,Desha County,0,2000,5041,1158.9362386067708,17.333528583885258,pop2000,15306
Arkansas,Drew County,0,2000,5043,1285.9666649070946,17.316442987940334,pop2000,18703
Arkansas,Faulkner County,0,2000,5045,1052.8530883789062,16.096768398874815,pop2000,86456
Arkansas,Franklin County,0,2000,5047,1165.0682043868503,15.672280997372745,pop2000,17747
Arkansas,Fulton County,0,2000,5049,962.496706334556,14.387533013413591,pop2000,11655
Arkansas,Garland County,2,2000,5051,1153.9114599135316,16.407086224231904,pop2000,88350
Arkansas,Grant County,0,2000,5053,1083.569561298077,16.769881447592933,pop2000,16488
Arkansas,Greene County,0,2000,5055,1044.9644193427507,15.429873122725375,pop2000,37504
Arkansas,Hempstead County,0,2000,5057,1390.210990679146,16.980684865819345,pop2000,23560
Arkansas,Hot Spring County,0,2000,5059,1130.4605384744623,16.811016533964423,pop2000,30383
Arkansas,Howard County,0,2000,5061,1390.457023458278,16.3975630009428,pop2000,14252
Arkansas,Independence County,0,2000,5063,987.8473372920866,15.637311143259849,pop2000,34270
Arkansas,Izard County,0,2000,5065,1054.5331781560724,14.965098955414511,pop2000,13276
Arkansas,Jackson County,0,2000,5067,966.7114131761634,15.958381901616635,pop2000,18351
Arkansas,Jefferson County,0,2000,5069,1071.6447080724379,17.07095004530514,pop2000,84218
Arkansas,Johnson County,0,2000,5071,1147.3459442440826,15.259272292108818,pop2000,22799
Arkansas,Lafayette County,0,2000,5073,1499.6929361979167,17.567556686401367,pop2000,8527
Arkansas,Lawrence County,0,2000,5075,1129.2234139791349,15.445743921326429,pop2000,17679
Arkansas,Lee County,0,2000,5077,930.3663323296441,16.55777269999186,pop2000,12528
Arkansas,Lincoln County,0,2000,5079,1191.396557336566,17.181106808541834,pop2000,14474
Arkansas,Little River County,0,2000,5081,1444.9698736728767,17.426798600416916,pop2000,13610
Arkansas,Logan County,0,2000,5083,1011.2322720614346,16.231031036376955,pop2000,22504
Arkansas,Lonoke County,0,2000,5085,981.4300839720654,16.74661299761604,pop2000,53124
Arkansas,Madison County,0,2000,5087,1172.86818222172,14.4582785771898,pop2000,14296
Arkansas,Marion County,0,2000,5089,969.4085250051398,14.598322346335964,pop2000,16156
Arkansas,Miller County,1,2000,5091,1465.0898046400941,17.586746326928,pop2000,40434
Arkansas,Mississippi County,0,2000,5093,1042.6091442108154,15.95371226221323,pop2000,51827
Arkansas,Monroe County,0,2000,5095,974.9172426421067,16.621981763291632,pop2000,10179
Arkansas,Montgomery County,0,2000,5097,1278.435307055448,15.844239690662485,pop2000,9270
Arkansas,Nevada County,0,2000,5099,1370.8886075583837,17.134058265275854,pop2000,9920
Arkansas,Newton County,1,2000,5101,1101.023024102219,14.226871835083521,pop2000,8647
Arkansas,Ouachita County,0,2000,5103,1285.7643746681583,17.04074829990424,pop2000,28685
Arkansas,Perry County,0,2000,5105,1057.1893607897637,16.255579129243507,pop2000,10236
Arkansas,Phillips County,0,2000,5107,966.0166658968539,16.984326182184994,pop2000,26268
Arkansas,Pike County,0,2000,5109,1308.221643468836,16.201248682462253,pop2000,11321
Arkansas,Poinsett County,0,2000,5111,978.0125009042246,15.911489186463532,pop2000,25617
Arkansas,Polk County,0,2000,5113,1446.117837890625,15.459249336242676,pop2000,20262
Arkansas,Pope County,0,2000,5115,1068.103793966359,15.355056022775583,pop2000,54500
Arkansas,Prairie County,0,2000,5117,950.1551034109933,16.595610521277603,pop2000,9504
Arkansas,Pulaski County,0,2000,5119,1021.7034353008708,16.789575038065436,pop2000,361905
Arkansas,Randolph County,0,2000,5121,1061.5583902994792,14.687856816697394,pop2000,18163
Arkansas,St. Francis County,0,2000,5123,997.1618468645707,16.252735813844552,pop2000,29284
Arkansas,Saline County,1,2000,5125,1073.7198138370693,16.69843497231742,pop2000,83940
Arkansas,Scott County,0,2000,5127,1169.3999257482085,15.811622175058924,pop2000,10991
Arkansas,Searcy County,0,2000,5129,1009.7878757052952,14.723700321081912,pop2000,8273
Arkansas,Sebastian County,0,2000,5131,1073.519274455745,16.292947652863294,pop2000,115518
Arkansas,Sevier County,0,2000,5133,1421.672095010447,16.738412346950795,pop2000,15759
Arkansas,Sharp County,0,2000,5135,1026.1202241704705,14.901912442753824,pop2000,17151
Arkansas,Stone County,0,2000,5137,1024.4632037934803,15.090312980470204,pop2000,11522
Arkansas,Union County,0,2000,5139,1353.2407605401402,17.518649476149985,pop2000,45572
Arkansas,Van Buren County,0,2000,5141,1045.5487579075636,14.9298484177716,pop2000,16211
Arkansas,Washington County,0,2000,5143,1228.0697224934895,14.177972522046831,pop2000,158806
Arkansas,White County,1,2000,5145,982.7883647843903,15.896516612931794,pop2000,67405
Arkansas,Woodruff County,0,2000,5147,951.9613394388339,16.16634243290599,pop2000,8690
Arkansas,Yell County,0,2000,5149,1026.964794838265,16.165276311848263,pop2000,21163
California,Alameda County,4,2000,6001,546.1019439697266,14.976324125572487,pop2000,1450220
California,Alpine County,0,2000,6003,1014.4715465198864,5.773911365595731,pop2000,1205
California,Amador County,0,2000,6005,1049.400219048394,14.037849511040582,pop2000,35173
California,Butte County,3,2000,6007,1165.8818181355794,15.060919794169338,pop2000,203926
California,Calaveras County,1,2000,6009,1055.8800616954109,14.56798057736091,pop2000,40696
